,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7034,0.0332,0.6632,0.3333,0.1667,,0.2222,0.2313,0.9905,1,725,5,2
0_1,0.9811,0.492,0.8306,0.6667,0.3333,,0.4444,0.4685,0.9932,2,726,4,1
0_2,0.9322,0.6722,0.8326,0.6667,0.6667,,0.6667,0.6653,0.9973,2,729,1,1
0_3,0.9886,0.2559,0.832,0.6667,0.5,,0.5714,0.5754,0.9959,2,728,2,1
0_4,0.6993,0.0468,0.6646,0.3333,0.25,,0.2857,0.2853,0.9932,1,727,3,2
0_5,0.8469,0.1607,0.6243,0.25,0.5,,0.3333,0.3511,0.9945,1,728,1,3
0_6,0.9438,0.0809,0.4986,0.0,0.0,,,-0.0039,0.9918,0,727,2,4
0_7,0.5682,0.2546,0.625,0.25,1.0,,0.4,0.499,0.9959,1,729,0,3
0_8,0.5295,0.0144,0.4973,0.0,0.0,,,-0.0048,0.9904,0,725,4,3
0_9,0.6043,0.005,0.4959,0.0,0.0,,,-0.0058,0.9877,0,723,6,3
0_Mean,0.7797,0.2016,0.6564,0.3167,0.3417,,0.4177,0.3061,0.993,1.0,726.7,2.8,2.3
0_SD,0.1793,0.2245,0.1376,0.2744,0.3297,,0.1578,0.2501,0.003,0.816496580927726,1.946506842754191,1.9321835661585918,1.0593499054713802
Mean,0.7797,0.2016,0.6564,0.3167,0.3417,,0.4177,0.3061,0.993,1.0,726.7,2.8,2.3
SD,0.1793,0.2246,0.1376,0.2744,0.3297,,0.1578,0.2502,0.003,0.8165,1.9465,1.9322,1.0593
