,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.8197,0.0549,0.4952,0.0,0.0,,,-0.0103,0.9795,0,718,7,8
0_1,0.7211,0.086,0.614,0.25,0.1111,,0.1538,0.153,0.97,2,709,16,6
0_2,0.6862,0.0349,0.4917,0.0,0.0,,,-0.0136,0.9727,0,713,12,8
0_3,0.6974,0.3615,0.6229,0.25,0.4,,0.3077,0.3104,0.9877,2,722,3,6
0_4,0.873,0.1826,0.6042,0.2222,0.1667,,0.1905,0.1809,0.9768,2,714,10,7
0_5,0.6459,0.0414,0.6188,0.25,0.1818,,0.2105,0.203,0.9795,2,715,9,6
0_6,0.6946,0.0396,0.5563,0.125,0.1,,0.1111,0.1008,0.9781,1,715,9,7
0_7,0.7679,0.0511,0.5597,0.125,0.2,,0.1538,0.1508,0.985,1,720,4,7
0_8,0.723,0.2216,0.6195,0.25,0.2,,0.2222,0.214,0.9809,2,716,8,6
0_9,0.7418,0.1974,0.6813,0.375,0.25,,0.3,0.2969,0.9809,3,715,9,5
0_Mean,0.7371,0.1271,0.5864,0.1847,0.161,,0.2062,0.1586,0.9791,1.5,715.7,8.7,6.6
0_SD,0.0675,0.1096,0.0601,0.1202,0.1186,,0.0698,0.1102,0.0052,0.97182531580755,3.653004851412662,3.7133393177689658,0.9660917830792959
Mean,0.7371,0.1271,0.5864,0.1847,0.161,,0.2062,0.1586,0.9791,1.5,715.7,8.7,6.6
SD,0.0675,0.1096,0.0601,0.1202,0.1186,,0.0699,0.1102,0.0052,0.9718,3.653,3.7133,0.9661
