,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.8677,0.5,0.0,,,0.0,0.9963
0_1,0.9125,0.8333,0.6667,1.0,0.8,0.816,0.9988
0_2,0.8728,0.5,0.0,,,0.0,0.9963
0_3,0.3231,0.5,0.0,,,0.0,0.9975
0_4,0.8684,0.7488,0.5,0.3333,0.4,0.4065,0.9963
0_5,0.6973,0.6667,0.3333,1.0,0.5,0.5766,0.9975
0_6,0.7749,0.8333,0.6667,1.0,0.8,0.816,0.9988
0_7,0.5519,0.666,0.3333,0.5,0.4,0.4065,0.9963
0_8,0.765,0.6667,0.3333,1.0,0.5,0.5766,0.9975
0_9,0.5523,0.6667,0.3333,1.0,0.5,0.5766,0.9975
0_Mean,0.7186,0.6581,0.3167,0.8333,0.5571,0.4175,0.9973
0_SD,0.1897,0.1269,0.254,0.2887,0.1718,0.3192,0.001
Mean,0.7186,0.6581,0.3167,0.8333,0.5571,0.4175,0.9973
SD,0.1896,0.1269,0.254,0.2887,0.1718,0.3191,0.001
