,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.776,0.1537,0.5519,0.1176,0.1538,,0.1333,0.1184,0.9679,2,783,11,15
0_1,0.7263,0.3028,0.612,0.2353,0.3077,,0.2667,0.2555,0.9729,4,785,9,13
0_2,0.5875,0.1611,0.5538,0.1176,0.2,,0.1481,0.1396,0.9716,2,786,8,15
0_3,0.6801,0.1994,0.5857,0.1765,0.4286,,0.25,0.2655,0.9778,3,790,4,14
0_4,0.6707,0.0579,0.5525,0.1176,0.1667,,0.1379,0.1246,0.9692,2,784,10,15
0_5,0.6419,0.0411,0.5237,0.0588,0.1,,0.0741,0.0616,0.9692,1,785,9,16
0_6,0.6014,0.0307,0.495,0.0,0.0,,,-0.0146,0.9692,0,786,8,17
0_7,0.5134,0.0834,0.5231,0.0588,0.0909,,0.0714,0.0573,0.9679,1,784,10,16
0_8,0.7648,0.2067,0.5832,0.1765,0.2727,,0.2143,0.2061,0.9729,3,786,8,14
0_9,0.6445,0.0342,0.4962,0.0,0.0,,,-0.0126,0.9716,0,788,6,17
0_Mean,0.6607,0.1271,0.5477,0.1059,0.172,,0.162,0.1201,0.971,1.8,785.7,8.3,15.2
0_SD,0.0817,0.0921,0.0388,0.0774,0.136,,0.0746,0.1002,0.003,1.3165611772087666,2.057506581601462,2.057506581601462,1.3165611772087666
Mean,0.6607,0.1271,0.5477,0.1059,0.172,,0.162,0.1201,0.971,1.8,785.7,8.3,15.2
SD,0.0817,0.0921,0.0388,0.0775,0.136,,0.0746,0.1002,0.003,1.3166,2.0575,2.0575,1.3166
