,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.9462,0.4986,0.0,0.0,,-0.0027,0.9946
0_1,0.9837,0.498,0.0,0.0,,-0.0033,0.9932
0_2,0.9734,0.7486,0.5,0.3333,0.4,0.4063,0.9959
0_3,0.9973,0.7486,0.5,0.3333,0.4,0.4063,0.9959
0_4,0.9114,0.4973,0.0,0.0,,-0.0039,0.9918
0_5,0.8099,0.4959,0.0,0.0,,-0.0047,0.9891
0_6,0.9441,0.4993,0.0,0.0,,-0.0014,0.9973
0_7,0.9605,0.4993,0.0,0.0,,-0.0014,0.9973
0_8,0.9986,0.9993,1.0,0.5,0.6667,0.7066,0.9986
0_9,0.926,0.498,0.0,0.0,,-0.0033,0.9932
0_Mean,0.9451,0.5983,0.2,0.1167,0.4889,0.1499,0.9947
0_SD,0.0557,0.1752,0.3496,0.1933,0.154,0.2593,0.0029
Mean,0.9451,0.5983,0.2,0.1167,0.4889,0.1498,0.9947
SD,0.0557,0.1752,0.3496,0.1932,0.154,0.2593,0.0029
