,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.9562,0.6646,0.3333,0.25,0.2857,0.2853,0.9932
0_1,0.6553,0.6632,0.3333,0.1667,0.2222,0.2313,0.9905
0_2,0.668,0.4973,0.0,0.0,,-0.0047,0.9905
0_3,0.3699,0.4973,0.0,0.0,,-0.0047,0.9905
0_4,0.9836,0.8306,0.6667,0.3333,0.4444,0.4685,0.9932
0_5,0.9578,0.4973,0.0,0.0,,-0.0047,0.9905
0_6,0.9838,0.6653,0.3333,0.3333,0.3333,0.3306,0.9945
0_7,0.8064,0.4986,0.0,0.0,,-0.0034,0.9932
0_8,0.86,0.4952,0.0,0.0,,-0.0063,0.9864
0_9,0.8654,0.7479,0.5,0.4,0.4444,0.4438,0.9932
0_Mean,0.8106,0.6057,0.2167,0.1483,0.346,0.1736,0.9915
0_SD,0.1963,0.1248,0.2491,0.1675,0.0981,0.1999,0.0024
Mean,0.8106,0.6057,0.2167,0.1483,0.346,0.1736,0.9916
SD,0.1963,0.1247,0.2491,0.1675,0.0981,0.1999,0.0024
