,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.811,0.625,0.25,1.0,0.4,0.499,0.9959
0_1,0.6603,0.5,0.0,,,0.0,0.9959
0_2,0.8954,0.6653,0.3333,0.3333,0.3333,0.3306,0.9945
0_3,0.9062,0.5,0.0,,,0.0,0.9959
0_4,0.9397,0.8313,0.6667,0.4,0.5,0.5139,0.9945
0_5,0.6411,0.5,0.0,,,0.0,0.9959
0_6,0.4215,0.4959,0.0,0.0,,-0.0058,0.9877
0_7,0.9799,0.666,0.3333,0.5,0.4,0.4063,0.9959
0_8,0.9865,0.6653,0.3333,0.3333,0.3333,0.3306,0.9945
0_9,0.5859,0.6229,0.25,0.25,0.25,0.2459,0.9918
0_Mean,0.7827,0.6072,0.2167,0.4024,0.3694,0.232,0.9943
0_SD,0.1938,0.1095,0.2194,0.3059,0.0846,0.2157,0.0026
Mean,0.7827,0.6072,0.2167,0.4024,0.3694,0.232,0.9942
SD,0.1938,0.1095,0.2194,0.3059,0.0846,0.2157,0.0026
