,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6538,0.5739,0.1579,0.2727,0.2,0.1933,0.9704
0_1,0.7227,0.5707,0.1579,0.1875,0.1714,0.1539,0.9642
0_2,0.6809,0.6021,0.2105,0.4444,0.2857,0.2949,0.9753
0_3,0.609,0.5771,0.1579,0.5,0.24,0.272,0.9766
0_4,0.6198,0.5745,0.1579,0.3,0.2069,0.2043,0.9716
0_5,0.6044,0.5714,0.1579,0.2,0.1765,0.1602,0.9655
0_6,0.7211,0.5699,0.15,0.2727,0.1935,0.1876,0.9692
0_7,0.6257,0.5476,0.1053,0.2,0.1379,0.1304,0.9691
0_8,0.6776,0.5463,0.1053,0.1667,0.129,0.116,0.9667
0_9,0.5927,0.6284,0.2632,0.5,0.3448,0.352,0.9765
0_Mean,0.6508,0.5762,0.1624,0.3044,0.2086,0.2065,0.9705
0_SD,0.0479,0.0241,0.0463,0.1302,0.0663,0.0765,0.0045
Mean,0.6508,0.5762,0.1624,0.3044,0.2086,0.2065,0.9705
SD,0.0479,0.0241,0.0462,0.1302,0.0663,0.0765,0.0045
