,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6957,0.6983,0.5556,0.0735,0.1299,0.1564,0.8348
0_1,0.797,0.7476,0.6316,0.1,0.1727,0.211,0.8582
0_2,0.7271,0.7314,0.5789,0.1068,0.1803,0.2102,0.8767
0_3,0.8076,0.8028,0.7368,0.1186,0.2044,0.2598,0.8656
0_4,0.8169,0.7815,0.6842,0.1193,0.2031,0.2497,0.8742
0_5,0.8668,0.8119,0.7778,0.1029,0.1818,0.246,0.8444
0_6,0.7938,0.767,0.6667,0.1026,0.1778,0.224,0.863
0_7,0.8116,0.8062,0.7222,0.13,0.2203,0.2744,0.8864
0_8,0.844,0.791,0.7222,0.1048,0.1831,0.2383,0.8568
0_9,0.8289,0.7708,0.6667,0.1081,0.186,0.2322,0.8704
0_Mean,0.7989,0.7709,0.6743,0.1067,0.1839,0.2302,0.863
0_SD,0.0516,0.0363,0.0703,0.015,0.0241,0.033,0.0154
Mean,0.7989,0.7708,0.6743,0.1067,0.1839,0.2302,0.863
SD,0.0516,0.0363,0.0703,0.015,0.0241,0.033,0.0154
