,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.5113,0.5251,0.2353,0.0265,0.0476,0.0185,0.8027
0_1,0.669,0.6551,0.5294,0.0492,0.09,0.1063,0.7756
0_2,0.6334,0.6064,0.4118,0.0424,0.0769,0.0757,0.7928
0_3,0.5888,0.6051,0.4118,0.0419,0.0761,0.0745,0.7904
0_4,0.7184,0.664,0.5294,0.0533,0.0968,0.1157,0.7928
0_5,0.6015,0.6095,0.4118,0.0438,0.0791,0.0789,0.799
0_6,0.5658,0.5387,0.2941,0.0282,0.0515,0.0269,0.7731
0_7,0.6042,0.6295,0.4706,0.0455,0.0829,0.09,0.7818
0_8,0.6373,0.6264,0.4706,0.0442,0.0808,0.0869,0.7756
0_9,0.7436,0.7464,0.7059,0.0663,0.1212,0.1696,0.7852
0_Mean,0.6273,0.6206,0.4471,0.0441,0.0803,0.0843,0.7869
0_SD,0.0696,0.0627,0.1307,0.0114,0.021,0.043,0.0103
Mean,0.6273,0.6206,0.4471,0.0441,0.0803,0.0843,0.7869
SD,0.0696,0.0627,0.1307,0.0114,0.021,0.043,0.0103
