,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.725,0.5625,0.5,0.625,0.5556,0.125,0.5556
0_1,0.5375,0.6125,0.6,0.6667,0.6316,0.2236,0.6111
0_2,0.5325,0.487,0.5455,0.6,0.5714,-0.0255,0.5
0_3,0.6364,0.5325,0.6364,0.6364,0.6364,0.0649,0.5556
0_4,0.8857,0.8786,0.9,0.9,0.9,0.7571,0.8824
0_5,0.7143,0.7286,0.6,0.8571,0.7059,0.4571,0.7059
0_6,0.5071,0.4714,0.8,0.5714,0.6667,-0.0738,0.5294
0_7,0.5571,0.4429,0.6,0.5455,0.5714,-0.1177,0.4706
0_8,0.6429,0.6857,0.8,0.7273,0.7619,0.3825,0.7059
0_9,0.5714,0.4214,0.7,0.5385,0.6087,-0.1823,0.4706
0_Mean,0.631,0.5823,0.6682,0.6668,0.661,0.1611,0.5987
0_SD,0.1172,0.1454,0.1282,0.1255,0.1058,0.2967,0.1311
Mean,0.631,0.5823,0.6682,0.6668,0.661,0.1611,0.5987
SD,0.1172,0.1454,0.1281,0.1255,0.1058,0.2966,0.1311
