,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6875,0.5208,0.875,0.5833,0.7,0.0589,0.5714
0_1,0.7917,0.8125,0.625,1.0,0.7692,0.6455,0.7857
0_2,0.7083,0.6458,0.625,0.7143,0.6667,0.2887,0.6429
0_3,0.8542,0.7292,0.625,0.8333,0.7143,0.4583,0.7143
0_4,0.75,0.7708,0.875,0.7778,0.8235,0.5594,0.7857
0_5,0.5625,0.5417,0.75,0.6,0.6667,0.0913,0.5714
0_6,0.6875,0.6458,0.625,0.7143,0.6667,0.2887,0.6429
0_7,0.6875,0.7083,0.75,0.75,0.75,0.4167,0.7143
0_8,0.3556,0.3778,0.5556,0.5556,0.5556,-0.2444,0.4286
0_9,0.8,0.6375,0.875,0.7,0.7778,0.3175,0.6923
0_Mean,0.6885,0.639,0.7181,0.7229,0.709,0.2881,0.6549
0_SD,0.142,0.13,0.1234,0.1317,0.0761,0.263,0.1096
Mean,0.6885,0.639,0.7181,0.7229,0.7091,0.2881,0.655
SD,0.142,0.13,0.1234,0.1316,0.0761,0.263,0.1096
