,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6532,0.6594,0.4167,0.1149,0.1802,0.1745,0.8877
0_1,0.799,0.6748,0.4348,0.1299,0.2,0.198,0.9011
0_2,0.5824,0.5462,0.1739,0.0588,0.0879,0.0554,0.8974
0_3,0.604,0.6064,0.3043,0.0886,0.1373,0.1191,0.8912
0_4,0.6735,0.5853,0.2609,0.0779,0.12,0.0966,0.8912
0_5,0.5215,0.5283,0.1304,0.0492,0.0714,0.0357,0.9036
0_6,0.554,0.5565,0.2174,0.0575,0.0909,0.0607,0.8764
0_7,0.6937,0.6671,0.4348,0.1124,0.1786,0.1775,0.8863
0_8,0.6497,0.6202,0.3333,0.0988,0.1524,0.1358,0.89
0_9,0.6379,0.6265,0.3333,0.1127,0.1684,0.1518,0.9023
0_Mean,0.6369,0.6071,0.304,0.0901,0.1387,0.1205,0.8927
0_SD,0.0785,0.0521,0.108,0.0282,0.0446,0.0567,0.0085
Mean,0.6369,0.6071,0.304,0.0901,0.1387,0.1205,0.8927
SD,0.0785,0.0521,0.108,0.0282,0.0446,0.0567,0.0085
