,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6181,0.6938,0.4,0.1667,0.2353,0.2513,0.984
0_1,0.7392,0.6926,0.4,0.1429,0.2105,0.2314,0.9815
0_2,0.7955,0.6932,0.4,0.1538,0.2222,0.2408,0.9827
0_3,0.4816,0.5926,0.2,0.0769,0.1111,0.1154,0.9803
0_4,0.7102,0.6907,0.4,0.1176,0.1818,0.2084,0.9778
0_5,0.7726,0.5944,0.2,0.1,0.1333,0.1339,0.984
0_6,0.6337,0.6944,0.4,0.1818,0.25,0.2631,0.9852
0_7,0.5496,0.62,0.25,0.1111,0.1538,0.1605,0.9864
0_8,0.7034,0.5919,0.2,0.0714,0.1053,0.1105,0.979
0_9,0.5175,0.695,0.4,0.2,0.2667,0.2767,0.9864
0_Mean,0.6521,0.6559,0.325,0.1322,0.187,0.1992,0.9827
0_SD,0.1095,0.049,0.0979,0.0438,0.0586,0.0635,0.003
Mean,0.6521,0.6559,0.325,0.1322,0.187,0.1992,0.9827
SD,0.1095,0.049,0.0979,0.0438,0.0586,0.0635,0.003
