,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.8463,0.6153,0.25,0.125,0.1667,0.164,0.9727
0_1,0.424,0.4938,0.0,0.0,,-0.0117,0.9768
0_2,0.8039,0.7396,0.5,0.2105,0.2963,0.3134,0.974
0_3,0.5263,0.5535,0.125,0.0714,0.0909,0.0813,0.9727
0_4,0.7897,0.6119,0.25,0.0952,0.1379,0.1394,0.9658
0_5,0.7032,0.673,0.375,0.125,0.1875,0.202,0.9645
0_6,0.6802,0.5466,0.125,0.0417,0.0625,0.0544,0.959
0_7,0.6894,0.7667,0.5556,0.2381,0.3333,0.3521,0.9727
0_8,0.5327,0.6028,0.2222,0.1429,0.1739,0.1654,0.974
0_9,0.6588,0.6028,0.2222,0.1429,0.1739,0.1654,0.974
0_Mean,0.6654,0.6206,0.2625,0.1193,0.1803,0.1626,0.9706
0_SD,0.1353,0.085,0.1717,0.0721,0.0872,0.1103,0.0056
Mean,0.6655,0.6206,0.2625,0.1193,0.1803,0.1626,0.9706
SD,0.1353,0.085,0.1717,0.0721,0.0872,0.1103,0.0056
