,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7004,0.6428,0.4,0.2718,0.3237,0.2417,0.8388
0_1,0.6461,0.5742,0.2429,0.2152,0.2282,0.1406,0.8416
0_2,0.6818,0.6122,0.3143,0.2716,0.2914,0.2103,0.8526
0_3,0.7285,0.6298,0.3571,0.2809,0.3145,0.2336,0.8499
0_4,0.6812,0.6214,0.3571,0.25,0.2941,0.208,0.8347
0_5,0.6796,0.6488,0.4058,0.2828,0.3333,0.2543,0.8455
0_6,0.6872,0.6003,0.3043,0.236,0.2658,0.1795,0.84
0_7,0.7042,0.6236,0.3571,0.2577,0.2994,0.2145,0.8386
0_8,0.6938,0.6121,0.3143,0.2716,0.2914,0.2102,0.8524
0_9,0.7152,0.5909,0.2857,0.2273,0.2532,0.1645,0.8372
0_Mean,0.6918,0.6156,0.3339,0.2565,0.2895,0.2057,0.8431
0_SD,0.0226,0.0229,0.051,0.0236,0.0325,0.0352,0.0065
Mean,0.6918,0.6156,0.3339,0.2565,0.2895,0.2057,0.8431
SD,0.0226,0.0229,0.051,0.0236,0.0324,0.0352,0.0065
