,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7852,0.666,0.3333,0.5,0.4,0.4063,0.9959
0_1,0.876,0.4993,0.0,0.0,,-0.0024,0.9945
0_2,0.5434,0.4986,0.0,0.0,,-0.0034,0.9932
0_3,0.5621,0.4979,0.0,0.0,,-0.0041,0.9918
0_4,0.992,0.666,0.3333,0.5,0.4,0.4063,0.9959
0_5,0.9164,0.4979,0.0,0.0,,-0.0041,0.9918
0_6,0.9696,0.666,0.3333,0.5,0.4,0.4063,0.9959
0_7,0.7436,0.6667,0.3333,1.0,0.5,0.5766,0.9973
0_8,0.7438,0.4966,0.0,0.0,,-0.0053,0.9891
0_9,0.8311,0.6236,0.25,0.3333,0.2857,0.2853,0.9932
0_Mean,0.7963,0.5779,0.1583,0.2833,0.3971,0.2061,0.9939
0_SD,0.1545,0.0851,0.1687,0.3429,0.0759,0.2319,0.0025
Mean,0.7963,0.5779,0.1583,0.2833,0.3971,0.2061,0.9939
SD,0.1545,0.0851,0.1687,0.3429,0.0759,0.2319,0.0025
