,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.645,0.5611,0.125,0.3333,0.1818,0.1989,0.9877
0_1,0.5312,0.4986,0.0,0.0,,-0.0055,0.9863
0_2,0.9014,0.4986,0.0,0.0,,-0.0055,0.9863
0_3,0.6934,0.4993,0.0,0.0,,-0.0039,0.9877
0_4,0.6839,0.6229,0.25,0.4,0.3077,0.3103,0.9877
0_5,0.8458,0.6188,0.25,0.1818,0.2105,0.203,0.9795
0_6,0.7025,0.5577,0.125,0.125,0.125,0.1153,0.9809
0_7,0.7822,0.6083,0.2222,0.3333,0.2667,0.2648,0.985
0_8,0.6356,0.5535,0.1111,0.25,0.1538,0.1599,0.985
0_9,0.8664,0.609,0.2222,0.4,0.2857,0.2918,0.9863
0_Mean,0.7288,0.5628,0.1306,0.2023,0.2188,0.1529,0.9852
0_SD,0.1174,0.0509,0.1038,0.1646,0.0697,0.1236,0.0029
Mean,0.7287,0.5628,0.1306,0.2023,0.2187,0.1529,0.9852
SD,0.1174,0.0509,0.1038,0.1646,0.0697,0.1236,0.0029
