,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6877,0.7374,0.4839,0.6818,0.566,0.5605,0.9716
0_1,0.7447,0.7497,0.5161,0.5517,0.5333,0.5157,0.9655
0_2,0.8279,0.7523,0.5161,0.64,0.5714,0.5597,0.9704
0_3,0.7316,0.7671,0.5484,0.6071,0.5763,0.5611,0.9692
0_4,0.8547,0.7678,0.5484,0.6296,0.5862,0.5724,0.9704
0_5,0.7217,0.6704,0.3548,0.5,0.4151,0.4022,0.9618
0_6,0.7638,0.7497,0.5161,0.5517,0.5333,0.5157,0.9655
0_7,0.6674,0.6878,0.4,0.3871,0.3934,0.3698,0.9543
0_8,0.7894,0.751,0.5161,0.5926,0.5517,0.5365,0.9679
0_9,0.7431,0.7504,0.5161,0.5714,0.5424,0.5259,0.9667
0_Mean,0.7532,0.7384,0.4916,0.5713,0.5269,0.512,0.9663
0_SD,0.0583,0.0327,0.0638,0.0829,0.0673,0.0698,0.0051
Mean,0.7532,0.7384,0.4916,0.5713,0.5269,0.512,0.9663
SD,0.0583,0.0327,0.0638,0.0829,0.0673,0.0697,0.0051
