,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.8365,0.5,0.0,,,0.0,0.9973
0_1,0.876,0.5,0.0,,,0.0,0.9973
0_2,0.2711,0.498,0.0,0.0,,-0.0024,0.9946
0_3,0.9714,0.5,0.0,,,0.0,0.9986
0_4,0.9973,0.4993,0.0,0.0,,-0.0014,0.9973
0_5,0.9693,0.5,0.0,,,0.0,0.9973
0_6,0.8001,0.4973,0.0,0.0,,-0.0039,0.9918
0_7,0.927,0.4959,0.0,0.0,,-0.0047,0.9891
0_8,0.9072,0.5,0.0,,,0.0,0.9973
0_9,0.9584,0.4986,0.0,0.0,,-0.0027,0.9946
0_Mean,0.8514,0.4989,0.0,0.0,,-0.0015,0.9955
0_SD,0.2134,0.0014,0.0,0.0,,0.0018,0.003
Mean,0.8514,0.4989,0.0,0.0,,-0.0015,0.9955
SD,0.2135,0.0014,0.0,0.0,,0.0018,0.003
