,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.455,0.4986,0.0,0.0,,-0.0027,0.9946
0_1,1.0,0.5,0.0,,,0.0,0.9986
0_2,0.2139,0.4966,0.0,0.0,,-0.0031,0.9918
0_3,0.9019,0.4993,0.0,0.0,,-0.0014,0.9973
0_4,0.9154,0.5,0.0,,,0.0,0.9973
0_5,0.7019,0.498,0.0,0.0,,-0.0033,0.9932
0_6,0.3895,0.4986,0.0,0.0,,-0.0027,0.9946
0_7,0.9785,0.5,0.0,,,0.0,0.9973
0_8,0.9877,0.75,0.5,1.0,0.6667,0.7066,0.9986
0_9,0.9055,0.4986,0.0,0.0,,-0.0027,0.9946
0_Mean,0.7449,0.524,0.05,0.1429,0.6667,0.0691,0.9958
0_SD,0.2891,0.0794,0.1581,0.378,,0.224,0.0024
Mean,0.7449,0.524,0.05,0.1429,0.6667,0.0691,0.9958
SD,0.2891,0.0794,0.1581,0.378,,0.224,0.0023
