,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7148,0.7119,0.56,0.1157,0.1918,0.2056,0.8545
0_1,0.887,0.8513,0.84,0.1628,0.2727,0.332,0.8619
0_2,0.7299,0.7126,0.56,0.1167,0.1931,0.207,0.8557
0_3,0.7761,0.7211,0.6,0.1079,0.1829,0.2028,0.8348
0_4,0.7999,0.7884,0.76,0.1166,0.2021,0.2488,0.815
0_5,0.7732,0.77,0.68,0.1339,0.2237,0.2569,0.8545
0_6,0.783,0.7398,0.64,0.1127,0.1916,0.2182,0.8335
0_7,0.8873,0.8312,0.8077,0.1556,0.2609,0.3133,0.8533
0_8,0.8735,0.7944,0.72,0.1488,0.2466,0.2857,0.8642
0_9,0.7504,0.7299,0.6,0.12,0.2,0.2202,0.8519
0_Mean,0.7975,0.7651,0.6768,0.129,0.2165,0.249,0.8479
0_SD,0.0639,0.0501,0.1017,0.0198,0.0324,0.0471,0.0153
Mean,0.7975,0.7651,0.6768,0.1291,0.2165,0.2491,0.8479
SD,0.0639,0.0501,0.1017,0.0198,0.0324,0.0471,0.0153
