,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6975,0.6822,0.5294,0.0643,0.1146,0.1381,0.8286
0_1,0.6651,0.6847,0.5294,0.0662,0.1176,0.1417,0.8335
0_2,0.702,0.6885,0.5294,0.0692,0.1224,0.1472,0.8409
0_3,0.7163,0.6765,0.5294,0.0604,0.1084,0.1306,0.8175
0_4,0.6976,0.6568,0.5,0.0513,0.093,0.1107,0.8074
0_5,0.6272,0.63,0.4375,0.0473,0.0854,0.0936,0.8148
0_6,0.6416,0.6094,0.375,0.0462,0.0822,0.083,0.8346
0_7,0.6311,0.6268,0.4375,0.0458,0.0828,0.0902,0.8086
0_8,0.6479,0.6574,0.5,0.0516,0.0936,0.1114,0.8086
0_9,0.6482,0.5926,0.3529,0.0432,0.0769,0.0704,0.8222
0_Mean,0.6675,0.6505,0.4721,0.0545,0.0977,0.1117,0.8217
0_SD,0.0329,0.034,0.0673,0.0096,0.0167,0.027,0.0122
Mean,0.6674,0.6505,0.472,0.0546,0.0977,0.1117,0.8217
SD,0.0329,0.034,0.0673,0.0096,0.0166,0.0269,0.0122
