,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7437,0.7732,0.75,0.0577,0.1071,0.1694,0.7956
0_1,0.6105,0.6017,0.4167,0.0314,0.0585,0.0626,0.7807
0_2,0.7533,0.6659,0.5385,0.0449,0.0828,0.107,0.7888
0_3,0.6609,0.6714,0.5385,0.0473,0.087,0.1127,0.7997
0_4,0.6354,0.5547,0.3077,0.0272,0.05,0.036,0.7929
0_5,0.7748,0.6399,0.4615,0.0438,0.08,0.0947,0.812
0_6,0.5095,0.4798,0.1538,0.0141,0.0258,-0.0135,0.7943
0_7,0.6807,0.6281,0.4615,0.039,0.0719,0.083,0.7888
0_8,0.7592,0.6687,0.5385,0.0461,0.0848,0.1098,0.7943
0_9,0.679,0.6798,0.5385,0.0515,0.094,0.1221,0.8161
0_Mean,0.6807,0.6363,0.4705,0.0403,0.0742,0.0884,0.7963
0_SD,0.0823,0.079,0.1586,0.0128,0.0237,0.0505,0.0107
Mean,0.6807,0.6363,0.4705,0.0403,0.0742,0.0884,0.7963
SD,0.0823,0.079,0.1586,0.0128,0.0237,0.0505,0.0107
