,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7154,0.6296,0.3636,0.129,0.1905,0.1608,0.8739
0_1,0.9044,0.7528,0.6061,0.2041,0.3053,0.3065,0.8875
0_2,0.7673,0.6506,0.3939,0.1529,0.2203,0.1943,0.8863
0_3,0.8133,0.6477,0.3636,0.1846,0.2449,0.2149,0.9085
0_4,0.7981,0.673,0.4375,0.1647,0.2393,0.2199,0.8899
0_5,0.8578,0.7642,0.625,0.2105,0.315,0.3199,0.8923
0_6,0.8218,0.7212,0.5312,0.1977,0.2881,0.2797,0.896
0_7,0.7765,0.6724,0.4375,0.1628,0.2373,0.218,0.8886
0_8,0.8252,0.7128,0.5312,0.1717,0.2595,0.2531,0.88
0_9,0.858,0.7295,0.5312,0.2329,0.3238,0.3123,0.9121
0_Mean,0.8138,0.6954,0.4821,0.1811,0.2624,0.2479,0.8915
0_SD,0.0535,0.0469,0.0959,0.0308,0.044,0.0548,0.0117
Mean,0.8138,0.6954,0.4821,0.1811,0.2624,0.2479,0.8915
SD,0.0535,0.0469,0.096,0.0309,0.044,0.0548,0.0117
