,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6159,0.5879,0.9697,0.0494,0.094,0.0871,0.2373
0_1,0.589,0.5628,0.9091,0.047,0.0894,0.0608,0.2447
0_2,0.5553,0.547,0.8788,0.0455,0.0864,0.0455,0.2423
0_3,0.6218,0.5947,1.0,0.0498,0.095,0.0972,0.2225
0_4,0.6263,0.5984,0.9688,0.0492,0.0937,0.0926,0.2574
0_5,0.6256,0.6005,1.0,0.0491,0.0936,0.0993,0.2327
0_6,0.6282,0.6012,1.0,0.0492,0.0937,0.0997,0.2339
0_7,0.6161,0.592,0.9688,0.0484,0.0923,0.0884,0.245
0_8,0.6037,0.5986,1.0,0.0489,0.0932,0.0981,0.229
0_9,0.5777,0.5541,0.875,0.0449,0.0855,0.0502,0.2587
0_Mean,0.606,0.5837,0.957,0.0481,0.0917,0.0819,0.2404
0_SD,0.0245,0.0208,0.0505,0.0017,0.0033,0.0213,0.0117
Mean,0.606,0.5837,0.957,0.0481,0.0917,0.0819,0.2404
SD,0.0245,0.0208,0.0505,0.0017,0.0034,0.0213,0.0117
