,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6005,0.5574,1.0,0.0153,0.0301,0.0419,0.1268
0_1,0.5469,0.5143,0.9,0.0127,0.0251,0.0094,0.1381
0_2,0.371,0.3687,0.6,0.0086,0.017,-0.0834,0.143
0_3,0.5476,0.5743,1.0,0.0145,0.0285,0.0463,0.1591
0_4,0.5134,0.5336,0.9,0.0133,0.0262,0.0199,0.1763
0_5,0.5365,0.5399,0.9,0.0135,0.0266,0.023,0.1887
0_6,0.5332,0.5214,0.9091,0.0142,0.028,0.0146,0.1443
0_7,0.5498,0.522,0.9091,0.0142,0.0281,0.015,0.1455
0_8,0.534,0.5202,0.9091,0.0142,0.0279,0.0138,0.1418
0_9,0.4832,0.4649,0.7273,0.0124,0.0244,-0.0202,0.2096
0_Mean,0.5216,0.5117,0.8755,0.0133,0.0262,0.008,0.1573
0_SD,0.0606,0.0579,0.122,0.0019,0.0037,0.0369,0.0261
Mean,0.5216,0.5117,0.8755,0.0133,0.0262,0.008,0.1573
SD,0.0606,0.0579,0.122,0.0019,0.0036,0.0369,0.0261
