,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.721,0.5902,0.1905,0.3333,0.2424,0.2372,0.9691
0_1,0.6723,0.5425,0.0952,0.2,0.129,0.1224,0.9666
0_2,0.723,0.565,0.1364,0.375,0.2,0.2137,0.9703
0_3,0.6678,0.5908,0.1905,0.3636,0.25,0.2493,0.9703
0_4,0.6584,0.5419,0.0952,0.1818,0.125,0.1151,0.9653
0_5,0.6744,0.5651,0.1429,0.2308,0.1765,0.1646,0.9653
0_6,0.7492,0.6133,0.2381,0.3571,0.2857,0.2764,0.9691
0_7,0.848,0.6403,0.2857,0.6,0.3871,0.4039,0.9765
0_8,0.797,0.5406,0.0952,0.1538,0.1176,0.1028,0.9629
0_9,0.7694,0.5895,0.1905,0.3077,0.2353,0.2264,0.9678
0_Mean,0.728,0.5779,0.166,0.3103,0.2149,0.2112,0.9683
0_SD,0.0631,0.0331,0.0648,0.1305,0.0841,0.0912,0.0037
Mean,0.728,0.5779,0.166,0.3103,0.2149,0.2112,0.9683
SD,0.0631,0.0331,0.0648,0.1305,0.0841,0.0912,0.0038
