,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.8209,0.6628,0.4062,0.1711,0.2407,0.2175,0.8991
0_1,0.8275,0.709,0.5,0.2,0.2857,0.2729,0.9016
0_2,0.7095,0.607,0.3125,0.1149,0.1681,0.1346,0.8782
0_3,0.8602,0.724,0.5312,0.2073,0.2982,0.2893,0.9016
0_4,0.8317,0.7182,0.5312,0.1868,0.2764,0.2692,0.8905
0_5,0.7849,0.6727,0.4375,0.1628,0.2373,0.2183,0.8893
0_6,0.8551,0.6743,0.4242,0.1918,0.2642,0.2406,0.9041
0_7,0.7943,0.6899,0.4848,0.1633,0.2443,0.2301,0.8782
0_8,0.8039,0.7127,0.5152,0.1954,0.2833,0.2716,0.8942
0_9,0.7671,0.654,0.3939,0.1625,0.2301,0.2041,0.893
0_Mean,0.8055,0.6825,0.4537,0.1756,0.2528,0.2348,0.893
0_SD,0.0448,0.0361,0.0713,0.027,0.0379,0.0454,0.0092
Mean,0.8055,0.6825,0.4537,0.1756,0.2528,0.2348,0.893
SD,0.0448,0.0361,0.0713,0.027,0.0379,0.0454,0.0092
