,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.8347,0.7081,0.4375,0.2917,0.35,0.3415,0.968
0_1,0.5923,0.607,0.2353,0.1905,0.2105,0.1929,0.9631
0_2,0.6767,0.6364,0.2941,0.2273,0.2564,0.2405,0.9643
0_3,0.7774,0.6664,0.3529,0.2727,0.3077,0.2935,0.9667
0_4,0.7361,0.6395,0.2941,0.2941,0.2941,0.279,0.9704
0_5,0.8755,0.6996,0.4118,0.4118,0.4118,0.3992,0.9754
0_6,0.624,0.5868,0.1875,0.2143,0.2,0.1854,0.9704
0_7,0.6634,0.5875,0.1875,0.2308,0.2069,0.1937,0.9716
0_8,0.8238,0.6512,0.3125,0.3846,0.3448,0.3349,0.9766
0_9,0.817,0.7731,0.5625,0.4091,0.4737,0.4675,0.9753
0_Mean,0.7421,0.6555,0.3276,0.2927,0.3056,0.2928,0.9702
0_SD,0.0982,0.0587,0.118,0.0825,0.0916,0.0944,0.0047
Mean,0.7421,0.6556,0.3276,0.2927,0.3056,0.2928,0.9702
SD,0.0982,0.0587,0.118,0.0825,0.0916,0.0944,0.0047
