,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6878,0.5411,0.0909,0.125,0.1053,0.0962,0.9791
0_1,0.7202,0.5944,0.2,0.1818,0.1905,0.1801,0.9791
0_2,0.9405,0.6444,0.3,0.25,0.2727,0.264,0.9803
0_3,0.8535,0.5469,0.1,0.1667,0.125,0.1208,0.9828
0_4,0.8093,0.5463,0.1,0.1429,0.1176,0.1104,0.9815
0_5,0.7833,0.5463,0.1,0.1429,0.1176,0.1104,0.9815
0_6,0.7999,0.5405,0.0909,0.1111,0.1,0.0894,0.9779
0_7,0.7715,0.5859,0.1818,0.2,0.1905,0.1801,0.9791
0_8,0.7605,0.5405,0.0909,0.1111,0.1,0.0894,0.9779
0_9,0.7138,0.5392,0.0909,0.0909,0.0909,0.0784,0.9754
0_Mean,0.784,0.5625,0.1345,0.1522,0.141,0.1319,0.9795
0_SD,0.0739,0.035,0.0708,0.0483,0.0584,0.0586,0.0022
Mean,0.784,0.5626,0.1345,0.1522,0.141,0.1319,0.9795
SD,0.0739,0.035,0.0708,0.0483,0.0584,0.0586,0.0022
