,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7601,0.732,0.6316,0.0828,0.1463,0.1831,0.8278
0_1,0.7586,0.7621,0.6842,0.0929,0.1635,0.2098,0.8364
0_2,0.7792,0.7709,0.6842,0.1032,0.1793,0.2262,0.8536
0_3,0.7609,0.747,0.6842,0.0793,0.1421,0.186,0.8069
0_4,0.7562,0.7363,0.6111,0.0909,0.1583,0.1954,0.8559
0_5,0.8156,0.7767,0.7222,0.0884,0.1576,0.2116,0.8288
0_6,0.7558,0.7458,0.6667,0.0795,0.142,0.186,0.8214
0_7,0.7287,0.6681,0.5,0.0647,0.1146,0.1314,0.8288
0_8,0.7239,0.7237,0.6111,0.078,0.1384,0.1739,0.8313
0_9,0.8115,0.7711,0.7222,0.0833,0.1494,0.2026,0.8177
0_Mean,0.7651,0.7434,0.6518,0.0843,0.1492,0.1906,0.8309
0_SD,0.0302,0.032,0.0667,0.0103,0.0173,0.0261,0.015
Mean,0.765,0.7434,0.6518,0.0843,0.1492,0.1906,0.8309
SD,0.0301,0.032,0.0667,0.0104,0.0173,0.0261,0.015
