,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7273,0.6553,0.5833,0.6087,0.5957,0.3126,0.6667
0_1,0.6869,0.6686,0.4583,0.7333,0.5641,0.378,0.7018
0_2,0.7438,0.6725,0.72,0.6,0.6545,0.3429,0.6667
0_3,0.8075,0.7019,0.56,0.7368,0.6364,0.425,0.7193
0_4,0.6187,0.6238,0.56,0.5833,0.5714,0.2487,0.6316
0_5,0.7463,0.6062,0.4,0.625,0.4878,0.2347,0.6316
0_6,0.6888,0.6081,0.56,0.56,0.56,0.2162,0.614
0_7,0.7,0.6281,0.6,0.5769,0.5882,0.2553,0.6316
0_8,0.7975,0.7419,0.64,0.7619,0.6957,0.4976,0.7544
0_9,0.8542,0.7604,0.7083,0.7391,0.7234,0.5239,0.7679
0_Mean,0.7371,0.6667,0.579,0.6525,0.6077,0.3435,0.6785
0_SD,0.0689,0.054,0.0991,0.08,0.0703,0.1105,0.0548
Mean,0.7371,0.6667,0.579,0.6525,0.6077,0.3435,0.6786
SD,0.069,0.054,0.0991,0.08,0.0703,0.1105,0.0548
