,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6458,0.5833,1.0,0.6154,0.7619,0.3203,0.6429
0_1,0.8958,0.7917,0.75,0.8571,0.8,0.5774,0.7857
0_2,0.6667,0.7083,0.75,0.75,0.75,0.4167,0.7143
0_3,0.7917,0.7917,0.75,0.8571,0.8,0.5774,0.7857
0_4,0.7708,0.6875,0.875,0.7,0.7778,0.4108,0.7143
0_5,0.5625,0.5208,0.875,0.5833,0.7,0.0589,0.5714
0_6,0.5625,0.6042,0.875,0.6364,0.7368,0.2513,0.6429
0_7,0.5,0.4583,0.75,0.5455,0.6316,-0.1005,0.5
0_8,0.4222,0.4778,0.5556,0.625,0.5882,-0.043,0.5
0_9,0.475,0.5375,0.875,0.6364,0.7368,0.1011,0.6154
0_Mean,0.6293,0.6161,0.8056,0.6806,0.7283,0.257,0.6473
0_SD,0.1533,0.1228,0.1211,0.1088,0.0701,0.2449,0.1041
Mean,0.6293,0.6161,0.8056,0.6806,0.7283,0.257,0.6473
SD,0.1533,0.1228,0.1211,0.1088,0.0701,0.2449,0.1041
