,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6353,0.6117,0.3,0.169,0.2162,0.1712,0.8927
0_1,0.7209,0.679,0.45,0.2022,0.2791,0.248,0.8853
0_2,0.5888,0.5856,0.275,0.1209,0.1679,0.1175,0.8656
0_3,0.5986,0.6283,0.35,0.1628,0.2222,0.1805,0.8792
0_4,0.5885,0.6053,0.3,0.1481,0.1983,0.152,0.8804
0_5,0.7063,0.6947,0.4634,0.25,0.3248,0.2927,0.9026
0_6,0.7081,0.6464,0.3902,0.1758,0.2424,0.2033,0.8767
0_7,0.7581,0.6446,0.3659,0.2027,0.2609,0.2201,0.8952
0_8,0.6959,0.6237,0.35,0.1505,0.2105,0.1681,0.8704
0_9,0.6639,0.6567,0.425,0.165,0.2378,0.2038,0.8654
0_Mean,0.6665,0.6376,0.367,0.1747,0.236,0.1957,0.8813
0_SD,0.0608,0.0336,0.0651,0.036,0.0443,0.05,0.0126
Mean,0.6664,0.6376,0.367,0.1747,0.236,0.1957,0.8814
SD,0.0608,0.0336,0.0651,0.036,0.0443,0.05,0.0126
