,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7683,0.7732,0.6129,0.2676,0.3725,0.3706,0.9212
0_1,0.6199,0.6325,0.3226,0.1818,0.2326,0.2021,0.9187
0_2,0.7276,0.7286,0.5161,0.2581,0.3441,0.3299,0.9249
0_3,0.8057,0.7834,0.6129,0.3455,0.4419,0.4322,0.9409
0_4,0.7297,0.7583,0.5806,0.2647,0.3636,0.3574,0.9224
0_5,0.746,0.7299,0.5161,0.2667,0.3516,0.3368,0.9273
0_6,0.8141,0.7622,0.5806,0.2903,0.3871,0.3783,0.9298
0_7,0.5997,0.6628,0.3871,0.2,0.2637,0.2385,0.9175
0_8,0.7155,0.6809,0.4194,0.2241,0.2921,0.2692,0.9224
0_9,0.7378,0.6968,0.4333,0.2955,0.3514,0.328,0.9408
0_Mean,0.7264,0.7209,0.4982,0.2594,0.3401,0.3243,0.9266
0_SD,0.0697,0.0508,0.1023,0.0478,0.0616,0.0694,0.0084
Mean,0.7264,0.7209,0.4982,0.2594,0.3401,0.3243,0.9266
SD,0.0697,0.0508,0.1023,0.0479,0.0616,0.0694,0.0084
