,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.8431,0.7393,0.5,0.32,0.3902,0.3851,0.9692
0_1,0.6122,0.5706,0.1765,0.0968,0.125,0.1055,0.9483
0_2,0.7218,0.7227,0.4706,0.2857,0.3556,0.3495,0.9643
0_3,0.7338,0.6645,0.3529,0.24,0.2857,0.2727,0.9631
0_4,0.7086,0.7834,0.5882,0.3704,0.4545,0.4526,0.9704
0_5,0.8128,0.749,0.5294,0.2647,0.3529,0.3559,0.9594
0_6,0.5251,0.6137,0.25,0.1818,0.2105,0.1946,0.963
0_7,0.674,0.6137,0.25,0.1818,0.2105,0.1946,0.963
0_8,0.7461,0.6793,0.375,0.3158,0.3429,0.3297,0.9716
0_9,0.8047,0.7999,0.625,0.3333,0.4348,0.442,0.9679
0_Mean,0.7182,0.6936,0.4118,0.259,0.3163,0.3082,0.964
0_SD,0.0964,0.0777,0.1543,0.0845,0.1065,0.1141,0.0068
Mean,0.7182,0.6936,0.4118,0.259,0.3163,0.3082,0.964
SD,0.0964,0.0777,0.1543,0.0845,0.1065,0.1141,0.0068
