,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.626,0.4986,0.0,0.0,,-0.0027,0.9946
0_1,0.7677,0.498,0.0,0.0,,-0.0033,0.9932
0_2,0.7473,0.4993,0.0,0.0,,-0.0019,0.9959
0_3,0.9305,0.7486,0.5,0.3333,0.4,0.4063,0.9959
0_4,0.3781,0.4973,0.0,0.0,,-0.0039,0.9918
0_5,0.329,0.4986,0.0,0.0,,-0.0027,0.9946
0_6,0.0606,0.4986,0.0,0.0,,-0.0027,0.9946
0_7,1.0,0.9952,1.0,0.125,0.2222,0.3519,0.9905
0_8,0.9864,0.4993,0.0,0.0,,-0.0014,0.9973
0_9,0.6104,0.4966,0.0,0.0,,-0.0031,0.9918
0_Mean,0.6436,0.573,0.15,0.0458,0.3111,0.0736,0.994
0_SD,0.3098,0.1679,0.3375,0.1084,0.1257,0.1615,0.0021
Mean,0.6436,0.573,0.15,0.0458,0.3111,0.0737,0.994
SD,0.3098,0.1679,0.3375,0.1084,0.1257,0.1615,0.0022
