,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.665,0.6584,0.3333,0.2,0.25,0.2464,0.9755
0_1,0.6921,0.5481,0.125,0.0455,0.0667,0.0585,0.9619
0_2,0.8927,0.6744,0.375,0.1364,0.2,0.2124,0.9673
0_3,0.5753,0.6174,0.25,0.1538,0.1905,0.1849,0.9769
0_4,0.7075,0.6779,0.375,0.1765,0.24,0.2456,0.9741
0_5,0.7701,0.7438,0.5,0.3077,0.381,0.3838,0.9823
0_6,0.9042,0.7383,0.5,0.1905,0.2759,0.2968,0.9714
0_7,0.6651,0.6106,0.25,0.087,0.129,0.1318,0.9633
0_8,0.6154,0.6161,0.25,0.1333,0.1739,0.1703,0.9741
0_9,0.7519,0.7424,0.5,0.2667,0.3478,0.3558,0.9796
0_Mean,0.7239,0.6627,0.3458,0.1697,0.2255,0.2286,0.9727
0_SD,0.1085,0.0659,0.1289,0.078,0.0952,0.0997,0.0067
Mean,0.7239,0.6627,0.3458,0.1697,0.2255,0.2286,0.9726
SD,0.1085,0.0659,0.1289,0.078,0.0952,0.0997,0.0067
