,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6518,0.6128,0.3673,0.1429,0.2057,0.1484,0.8286
0_1,0.6683,0.6246,0.3673,0.1667,0.2293,0.1748,0.8508
0_2,0.6978,0.6304,0.375,0.1714,0.2353,0.1833,0.8556
0_3,0.6457,0.6265,0.375,0.1622,0.2264,0.1737,0.8481
0_4,0.6218,0.5445,0.2083,0.099,0.1342,0.0635,0.8407
0_5,0.676,0.6031,0.3125,0.1562,0.2083,0.1506,0.8593
0_6,0.7037,0.6864,0.5,0.1983,0.284,0.2469,0.8506
0_7,0.7125,0.6716,0.4694,0.1933,0.2738,0.2311,0.8494
0_8,0.6235,0.6223,0.3878,0.1484,0.2147,0.1598,0.8284
0_9,0.6544,0.6199,0.3673,0.1565,0.2195,0.1639,0.842
0_Mean,0.6655,0.6242,0.373,0.1595,0.2231,0.1696,0.8453
0_SD,0.032,0.0382,0.0792,0.0277,0.0408,0.0496,0.0104
Mean,0.6656,0.6242,0.373,0.1595,0.2231,0.1696,0.8454
SD,0.032,0.0382,0.0793,0.0277,0.0408,0.0496,0.0104
