,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.819,0.4939,0.0,0.0,,-0.0071,0.9837
0_1,0.9318,0.4973,0.0,0.0,,-0.0047,0.9905
0_2,0.9191,0.4959,0.0,0.0,,-0.0058,0.9878
0_3,0.387,0.4945,0.0,0.0,,-0.0067,0.9851
0_4,0.6662,0.4973,0.0,0.0,,-0.0047,0.9905
0_5,0.6704,0.6202,0.25,0.125,0.1667,0.1705,0.9864
0_6,0.9399,0.7425,0.5,0.1538,0.2353,0.2707,0.9823
0_7,0.9299,0.8313,0.6667,0.4,0.5,0.5139,0.9946
0_8,0.6202,0.6646,0.3333,0.25,0.2857,0.2853,0.9932
0_9,0.4331,0.6612,0.3333,0.1111,0.1667,0.1869,0.9864
0_Mean,0.7317,0.5999,0.2083,0.104,0.2709,0.1398,0.988
0_SD,0.2092,0.1231,0.2461,0.1358,0.1376,0.1787,0.004
Mean,0.7317,0.5999,0.2083,0.104,0.2709,0.1398,0.988
SD,0.2092,0.1231,0.2461,0.1358,0.1376,0.1787,0.0041
