,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6597,0.5859,0.1818,0.2,0.1905,0.1801,0.9791
0_1,0.6146,0.595,0.2,0.2,0.2,0.19,0.9803
0_2,0.9524,0.7932,0.6,0.3529,0.4444,0.4516,0.9815
0_3,0.6218,0.5432,0.1,0.0833,0.0909,0.0789,0.9754
0_4,0.6877,0.5981,0.2,0.4,0.2667,0.2767,0.9865
0_5,0.635,0.595,0.2,0.2,0.2,0.19,0.9803
0_6,0.7701,0.6283,0.2727,0.1875,0.2222,0.2134,0.9742
0_7,0.7086,0.7192,0.4545,0.2778,0.3448,0.3442,0.9766
0_8,0.6276,0.5822,0.1818,0.125,0.1481,0.1367,0.9717
0_9,0.7706,0.6737,0.3636,0.2353,0.2857,0.2805,0.9754
0_Mean,0.7048,0.6314,0.2755,0.2262,0.2393,0.2342,0.9781
0_SD,0.1044,0.0758,0.153,0.0962,0.1012,0.1076,0.0043
Mean,0.7048,0.6314,0.2754,0.2262,0.2393,0.2342,0.9781
SD,0.1044,0.0758,0.153,0.0962,0.1012,0.1076,0.0043
