,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.612,0.612,0.4839,0.0688,0.1205,0.0968,0.7303
0_1,0.5973,0.5976,0.4194,0.0691,0.1187,0.0887,0.7623
0_2,0.5635,0.5635,0.3548,0.0582,0.1,0.0576,0.7562
0_3,0.6661,0.6661,0.5806,0.0849,0.1481,0.145,0.7451
0_4,0.5925,0.5925,0.4194,0.0663,0.1145,0.0829,0.7525
0_5,0.5919,0.5919,0.4194,0.066,0.114,0.0821,0.7512
0_6,0.5505,0.5505,0.3226,0.0546,0.0935,0.0464,0.7611
0_7,0.6022,0.6022,0.4516,0.0676,0.1176,0.0899,0.7414
0_8,0.6022,0.6022,0.4516,0.0676,0.1176,0.0899,0.7414
0_9,0.5662,0.5662,0.3667,0.0567,0.0982,0.0586,0.7509
0_Mean,0.5944,0.5945,0.427,0.066,0.1143,0.0838,0.7492
0_SD,0.0321,0.0321,0.073,0.0085,0.0154,0.0274,0.0099
Mean,0.5944,0.5945,0.427,0.066,0.1143,0.0838,0.7492
SD,0.0321,0.0321,0.073,0.0085,0.0153,0.0274,0.0099
