,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6041,0.6041,0.3125,0.0568,0.0962,0.0931,0.8842
0_1,0.5047,0.5047,0.1176,0.0227,0.0381,0.0044,0.8756
0_2,0.6005,0.6005,0.2941,0.0633,0.1042,0.0971,0.8941
0_3,0.4772,0.4772,0.0588,0.0119,0.0198,-0.0214,0.8781
0_4,0.5698,0.5698,0.2353,0.05,0.0825,0.0671,0.8904
0_5,0.5923,0.5923,0.2941,0.0543,0.0917,0.0834,0.8781
0_6,0.5254,0.5254,0.125,0.0328,0.0519,0.0268,0.91
0_7,0.6697,0.6697,0.4375,0.0824,0.1386,0.1541,0.8927
0_8,0.6003,0.6003,0.3125,0.0532,0.0909,0.0871,0.8767
0_9,0.5722,0.5722,0.25,0.0455,0.0769,0.0645,0.8816
0_Mean,0.5716,0.5716,0.2438,0.0473,0.0791,0.0656,0.8862
0_SD,0.0561,0.0561,0.1137,0.0204,0.0345,0.0508,0.0108
Mean,0.5716,0.5716,0.2437,0.0473,0.0791,0.0656,0.8862
SD,0.0561,0.0561,0.1137,0.0204,0.0345,0.0508,0.0108
