,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.811,0.6512,0.3125,0.3846,0.3448,0.3349,0.9766
0_1,0.557,0.5263,0.0588,0.1667,0.087,0.0878,0.9741
0_2,0.7882,0.7002,0.4118,0.4375,0.4242,0.4125,0.9766
0_3,0.7647,0.642,0.2941,0.3846,0.3333,0.324,0.9754
0_4,0.8139,0.7328,0.4706,0.6667,0.5517,0.5524,0.984
0_5,0.9003,0.7303,0.4706,0.5,0.4848,0.4744,0.9791
0_6,0.7763,0.5606,0.125,0.4,0.1905,0.2154,0.979
0_7,0.7155,0.6219,0.25,0.4444,0.32,0.3235,0.979
0_8,0.7404,0.6556,0.3125,0.8333,0.4545,0.5051,0.9852
0_9,0.8839,0.7456,0.5,0.5333,0.5161,0.507,0.9815
0_Mean,0.7751,0.6566,0.3206,0.4751,0.3707,0.3737,0.9791
0_SD,0.096,0.0736,0.1484,0.1791,0.147,0.146,0.0036
Mean,0.7751,0.6566,0.3206,0.4751,0.3707,0.3737,0.9791
SD,0.096,0.0736,0.1484,0.179,0.147,0.146,0.0036
