,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.8252,0.5,0.0,,,0.0,0.9939
0_1,0.67,0.6,0.2,1.0,0.3333,0.4461,0.9951
0_2,0.5728,0.4994,0.0,0.0,,-0.0025,0.9938
0_3,0.8147,0.6,0.2,1.0,0.3333,0.4461,0.9951
0_4,0.7153,0.4994,0.0,0.0,,-0.0028,0.9926
0_5,0.7731,0.5,0.0,,,0.0,0.9938
0_6,0.8425,0.5994,0.2,0.5,0.2857,0.3137,0.9938
0_7,0.8009,0.5,0.0,,,0.0,0.9938
0_8,0.9191,0.6,0.2,1.0,0.3333,0.4461,0.9951
0_9,0.7849,0.5,0.0,,,0.0,0.9938
0_Mean,0.7718,0.5398,0.08,0.5833,0.3214,0.1647,0.9941
0_SD,0.0975,0.0517,0.1033,0.4916,0.0238,0.2171,0.0008
Mean,0.7718,0.5398,0.08,0.5833,0.3214,0.1647,0.9941
SD,0.0975,0.0517,0.1033,0.4916,0.0238,0.2171,0.0008
