,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7674,0.5908,0.1905,0.3636,0.25,0.2493,0.9704
0_1,0.7156,0.5695,0.1429,0.5,0.2222,0.2577,0.9741
0_2,0.7492,0.5606,0.1364,0.2,0.1622,0.1461,0.9617
0_3,0.6466,0.5689,0.1429,0.4286,0.2143,0.2366,0.9728
0_4,0.5984,0.5644,0.1429,0.2143,0.1714,0.1572,0.9642
0_5,0.692,0.493,0.0,0.0,,-0.0192,0.9604
0_6,0.7562,0.5425,0.0952,0.2,0.129,0.1224,0.9666
0_7,0.8581,0.6616,0.3333,0.4667,0.3889,0.3809,0.9728
0_8,0.732,0.5425,0.0952,0.2,0.129,0.1224,0.9666
0_9,0.7604,0.6371,0.2857,0.4,0.3333,0.3233,0.9703
0_Mean,0.7276,0.5731,0.1565,0.2973,0.2223,0.1977,0.968
0_SD,0.0712,0.0481,0.0955,0.1583,0.0898,0.1154,0.0048
Mean,0.7276,0.5731,0.1565,0.2973,0.2223,0.1977,0.968
SD,0.0712,0.0481,0.0955,0.1583,0.0898,0.1154,0.0048
