,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6857,0.5838,0.1765,0.3,0.2222,0.2177,0.9742
0_1,0.7815,0.5282,0.0588,0.3333,0.1,0.1329,0.9779
0_2,0.5686,0.5551,0.1176,0.25,0.16,0.1596,0.9742
0_3,0.649,0.5269,0.0588,0.2,0.0909,0.0985,0.9754
0_4,0.593,0.5606,0.125,0.4,0.1905,0.2154,0.9791
0_5,0.6179,0.5594,0.125,0.2857,0.1739,0.1785,0.9766
0_6,0.684,0.5906,0.1875,0.375,0.25,0.255,0.9778
0_7,0.7712,0.5912,0.1875,0.4286,0.2609,0.2743,0.9791
0_8,0.4892,0.525,0.0625,0.0909,0.0741,0.06,0.9692
0_9,0.7386,0.5263,0.0588,0.1667,0.087,0.0878,0.9741
0_Mean,0.6579,0.5547,0.1158,0.283,0.1609,0.168,0.9758
0_SD,0.0933,0.0273,0.0545,0.1078,0.0702,0.073,0.003
Mean,0.6579,0.5547,0.1158,0.283,0.1609,0.168,0.9758
SD,0.0933,0.0273,0.0545,0.1078,0.0702,0.073,0.003
