,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7536,0.7518,0.52,0.5,0.5098,0.494,0.9692
0_1,0.8125,0.8149,0.64,0.6667,0.6531,0.6424,0.9791
0_2,0.8407,0.773,0.56,0.56,0.56,0.546,0.9729
0_3,0.846,0.713,0.44,0.5,0.4681,0.4533,0.9692
0_4,0.8162,0.753,0.52,0.5417,0.5306,0.5161,0.9717
0_5,0.7801,0.8105,0.64,0.5161,0.5714,0.5598,0.9705
0_6,0.7977,0.7473,0.52,0.3939,0.4483,0.4327,0.9606
0_7,0.827,0.7698,0.56,0.4667,0.5091,0.4942,0.9668
0_8,0.8416,0.8174,0.6538,0.5312,0.5862,0.5744,0.9705
0_9,0.7439,0.7511,0.52,0.4815,0.5,0.4839,0.968
0_Mean,0.8059,0.7702,0.5574,0.5158,0.5337,0.5197,0.9699
0_SD,0.0365,0.0344,0.0686,0.0704,0.0606,0.0623,0.0047
Mean,0.8059,0.7702,0.5574,0.5158,0.5337,0.5197,0.9698
SD,0.0365,0.0344,0.0686,0.0704,0.0606,0.0623,0.0047
