,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7317,0.6069,0.2927,0.1644,0.2105,0.1636,0.8894
0_1,0.7777,0.6558,0.375,0.2344,0.2885,0.2503,0.909
0_2,0.6824,0.6092,0.3,0.16,0.2087,0.1633,0.8881
0_3,0.805,0.6789,0.425,0.2464,0.3119,0.2776,0.9077
0_4,0.6807,0.6349,0.35,0.1842,0.2414,0.2005,0.8918
0_5,0.8161,0.6815,0.425,0.2615,0.3238,0.2894,0.9127
0_6,0.6191,0.5659,0.225,0.1111,0.1488,0.0952,0.8733
0_7,0.7201,0.611,0.275,0.2115,0.2391,0.1962,0.9139
0_8,0.7274,0.6531,0.3659,0.2459,0.2941,0.2544,0.9114
0_9,0.8075,0.6653,0.3902,0.2581,0.3107,0.2726,0.9127
0_Mean,0.7368,0.6363,0.3424,0.2078,0.2577,0.2163,0.901
0_SD,0.065,0.0373,0.0668,0.0507,0.0572,0.0631,0.0142
Mean,0.7368,0.6363,0.3424,0.2077,0.2578,0.2163,0.901
SD,0.0649,0.0374,0.0668,0.0507,0.0572,0.0631,0.0142
