,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.8781,0.498,0.0,0.0,,-0.0033,0.9932
0_1,0.9796,0.498,0.0,0.0,,-0.0033,0.9932
0_2,0.829,0.4986,0.0,0.0,,-0.0027,0.9946
0_3,0.983,0.4986,0.0,0.0,,-0.0027,0.9946
0_4,0.8464,0.4973,0.0,0.0,,-0.0039,0.9918
0_5,0.483,0.4966,0.0,0.0,,-0.0043,0.9905
0_6,0.75,0.498,0.0,0.0,,-0.0033,0.9932
0_7,0.9986,0.998,1.0,0.25,0.4,0.499,0.9959
0_8,0.985,0.4973,0.0,0.0,,-0.0027,0.9932
0_9,0.9918,0.4973,0.0,0.0,,-0.0027,0.9932
0_Mean,0.8724,0.5478,0.1,0.025,0.4,0.047,0.9933
0_SD,0.1619,0.1582,0.3162,0.0791,,0.1588,0.0015
Mean,0.8724,0.5478,0.1,0.025,0.4,0.047,0.9933
SD,0.1619,0.1582,0.3162,0.0791,,0.1588,0.0015
