,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7272,0.7289,0.5,0.0312,0.0588,0.1169,0.9565
0_1,0.7289,0.7248,0.5,0.0263,0.05,0.1058,0.9484
0_2,0.968,0.7275,0.5,0.0294,0.0556,0.1129,0.9538
0_3,0.4714,0.4816,0.0,0.0,,-0.0072,0.9619
0_4,0.9898,0.9782,1.0,0.0303,0.0588,0.1702,0.9565
0_5,0.4666,0.4755,0.0,0.0,,-0.0084,0.9497
0_6,0.4775,0.4836,0.0,0.0,,-0.0096,0.9646
0_7,0.4673,0.4782,0.0,0.0,,-0.0111,0.9537
0_8,0.7254,0.7254,0.5,0.027,0.0513,0.1074,0.9497
0_9,0.4666,0.4754,0.0,0.0,,-0.0119,0.9483
0_Mean,0.6489,0.6279,0.3,0.0144,0.0549,0.0565,0.9543
0_SD,0.21,0.1741,0.3496,0.0153,0.0041,0.072,0.0057
Mean,0.6489,0.6279,0.3,0.0144,0.0549,0.0565,0.9543
SD,0.21,0.1741,0.3496,0.0153,0.0041,0.072,0.0056
