,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.8392,0.6861,0.4375,0.1186,0.1867,0.1993,0.925
0_1,0.6853,0.6657,0.4118,0.0986,0.1591,0.1679,0.909
0_2,0.74,0.7258,0.5294,0.1268,0.2045,0.2288,0.9139
0_3,0.7782,0.7558,0.5882,0.1408,0.2273,0.2593,0.9164
0_4,0.7601,0.7058,0.4706,0.1455,0.2222,0.2345,0.9311
0_5,0.7804,0.7608,0.5882,0.1587,0.25,0.2792,0.9262
0_6,0.8693,0.732,0.5294,0.1475,0.2308,0.2521,0.9262
0_7,0.7594,0.7402,0.5294,0.1875,0.2769,0.2916,0.9422
0_8,0.7015,0.6726,0.4118,0.1167,0.1818,0.1889,0.9225
0_9,0.638,0.6382,0.3529,0.0896,0.1429,0.1438,0.9114
0_Mean,0.7551,0.7083,0.4849,0.133,0.2082,0.2245,0.9224
0_SD,0.0691,0.0414,0.0802,0.0291,0.0414,0.0485,0.0101
Mean,0.7551,0.7083,0.4849,0.133,0.2082,0.2245,0.9224
SD,0.0691,0.0414,0.0802,0.0291,0.0413,0.0485,0.0101
