,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.9475,0.4952,0.0,0.0,,-0.0051,0.9878
0_1,0.9843,0.498,0.0,0.0,,-0.0033,0.9932
0_2,0.9728,0.4973,0.0,0.0,,-0.0039,0.9918
0_3,0.9993,0.9986,1.0,0.5,0.6667,0.7061,0.9973
0_4,0.6035,0.4966,0.0,0.0,,-0.0043,0.9905
0_5,0.9326,0.4939,0.0,0.0,,-0.0058,0.9851
0_6,0.9053,0.4952,0.0,0.0,,-0.0051,0.9878
0_7,0.9986,0.9959,1.0,0.1429,0.25,0.3764,0.9918
0_8,0.9973,0.9973,1.0,0.2,0.3333,0.446,0.9946
0_9,0.9837,0.4939,0.0,0.0,,-0.0041,0.9864
0_Mean,0.9325,0.6462,0.3,0.0843,0.4167,0.1497,0.9906
0_SD,0.1198,0.2423,0.483,0.1631,0.2205,0.2615,0.0039
Mean,0.9325,0.6462,0.3,0.0843,0.4167,0.1497,0.9906
SD,0.1198,0.2423,0.483,0.1631,0.2205,0.2615,0.0039
