,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7453,0.6633,0.3333,0.1667,0.2222,0.2314,0.9905
0_1,0.9377,0.8251,0.6667,0.1429,0.2353,0.3033,0.9823
0_2,0.7563,0.6605,0.3333,0.1,0.1538,0.1767,0.9851
0_3,0.7913,0.4945,0.0,0.0,,-0.0067,0.9851
0_4,0.7335,0.4966,0.0,0.0,,-0.0053,0.9891
0_5,0.695,0.6182,0.25,0.0909,0.1333,0.1432,0.9823
0_6,0.9677,0.6598,0.3333,0.0909,0.1429,0.1679,0.9837
0_7,0.7559,0.8272,0.6667,0.1818,0.2857,0.3436,0.9864
0_8,0.6079,0.4952,0.0,0.0,,-0.0063,0.9864
0_9,0.9699,0.8286,0.6667,0.2222,0.3333,0.3809,0.9891
0_Mean,0.7961,0.6569,0.325,0.0995,0.2152,0.1729,0.986
0_SD,0.1225,0.136,0.2734,0.0803,0.0765,0.1453,0.0029
Mean,0.796,0.6569,0.325,0.0995,0.2152,0.1729,0.986
SD,0.1225,0.136,0.2735,0.0803,0.0765,0.1452,0.0029
