,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.854,0.7105,0.4545,0.1562,0.2326,0.2501,0.9595
0_1,0.7677,0.6656,0.3636,0.1333,0.1951,0.203,0.9595
0_2,0.8924,0.7484,0.5455,0.1333,0.2143,0.251,0.9459
0_3,0.9367,0.8307,0.7,0.1842,0.2917,0.3454,0.9582
0_4,0.722,0.6801,0.4,0.1111,0.1739,0.193,0.9533
0_5,0.8162,0.5851,0.2,0.0769,0.1111,0.1066,0.9606
0_6,0.788,0.5838,0.2,0.0714,0.1053,0.1013,0.9582
0_7,0.9025,0.6832,0.4,0.129,0.1951,0.2109,0.9594
0_8,0.8449,0.7079,0.4545,0.1389,0.2128,0.2336,0.9545
0_9,0.6075,0.6669,0.3636,0.1429,0.2051,0.2114,0.9619
0_Mean,0.8132,0.6862,0.4082,0.1277,0.1937,0.2106,0.9571
0_SD,0.0975,0.0726,0.1487,0.0341,0.0548,0.0707,0.0047
Mean,0.8132,0.6862,0.4082,0.1277,0.1937,0.2106,0.9571
SD,0.0975,0.0725,0.1487,0.0341,0.0548,0.0707,0.0047
