,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.515,0.4957,0.0,0.0,,-0.0057,0.9877
0_1,0.8266,0.8303,0.6667,0.2857,0.4,0.4335,0.9926
0_2,0.6874,0.4932,0.0,0.0,,-0.0058,0.984
0_3,0.8866,0.4975,0.0,0.0,,-0.0035,0.9926
0_4,0.4321,0.6642,0.3333,0.2,0.25,0.2547,0.9926
0_5,0.6383,0.6654,0.3333,0.3333,0.3333,0.3309,0.9951
0_6,0.8416,0.8309,0.6667,0.3333,0.4444,0.4688,0.9938
0_7,0.8189,0.6636,0.3333,0.1667,0.2222,0.2318,0.9914
0_8,0.6605,0.663,0.3333,0.1429,0.2,0.2139,0.9902
0_9,0.4934,0.663,0.3333,0.1429,0.2,0.2139,0.9902
0_Mean,0.68,0.6467,0.3,0.1605,0.2929,0.2132,0.991
0_SD,0.1617,0.1237,0.246,0.1312,0.1001,0.174,0.0032
Mean,0.68,0.6467,0.3,0.1605,0.2928,0.2133,0.991
SD,0.1617,0.1237,0.246,0.1312,0.1001,0.174,0.0032
