,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7665,0.7247,0.5312,0.2099,0.3009,0.2917,0.9028
0_1,0.8294,0.7878,0.6562,0.25,0.3621,0.3677,0.909
0_2,0.7689,0.6995,0.4848,0.1928,0.2759,0.26,0.8967
0_3,0.8336,0.7349,0.5455,0.2338,0.3273,0.3166,0.909
0_4,0.8301,0.753,0.6061,0.2041,0.3053,0.3067,0.8881
0_5,0.7545,0.6717,0.4242,0.1818,0.2545,0.2315,0.8991
0_6,0.7868,0.6388,0.375,0.1364,0.2,0.1737,0.8818
0_7,0.8147,0.6666,0.4062,0.1857,0.2549,0.231,0.9064
0_8,0.8277,0.7501,0.5938,0.2065,0.3065,0.307,0.8941
0_9,0.8396,0.7571,0.5938,0.2346,0.3363,0.3339,0.9076
0_Mean,0.8052,0.7184,0.5217,0.2035,0.2924,0.282,0.8995
0_SD,0.0325,0.0476,0.0954,0.0325,0.0472,0.0577,0.0094
Mean,0.8052,0.7184,0.5217,0.2036,0.2924,0.282,0.8995
SD,0.0325,0.0476,0.0954,0.0325,0.0473,0.0577,0.0093
