,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.516,0.4813,0.0,0.0,,-0.0262,0.9457
0_1,0.599,0.5919,0.2308,0.0811,0.12,0.1108,0.9402
0_2,0.6217,0.5624,0.1538,0.087,0.1111,0.0945,0.9565
0_3,0.549,0.5974,0.2308,0.1034,0.1429,0.1319,0.9511
0_4,0.6511,0.6036,0.25,0.0882,0.1304,0.125,0.9456
0_5,0.6119,0.6022,0.25,0.0833,0.125,0.12,0.9429
0_6,0.7512,0.7485,0.5385,0.1892,0.28,0.2996,0.951
0_7,0.7605,0.6261,0.3077,0.0909,0.1404,0.1402,0.9333
0_8,0.8475,0.6358,0.3077,0.1333,0.186,0.181,0.9524
0_9,0.7377,0.6008,0.2308,0.125,0.1622,0.1496,0.9578
0_Mean,0.6646,0.605,0.25,0.0981,0.1553,0.1326,0.9476
0_SD,0.1054,0.0661,0.1345,0.048,0.052,0.0802,0.0076
Mean,0.6646,0.605,0.25,0.0981,0.1553,0.1326,0.9477
SD,0.1054,0.0661,0.1345,0.048,0.052,0.0802,0.0076
