,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.3167,0.3182,0.1818,0.0045,0.0089,-0.0842,0.4509
0_1,0.5666,0.571,0.7,0.0154,0.0301,0.0315,0.4453
0_2,0.6011,0.6024,0.8,0.0165,0.0323,0.046,0.4096
0_3,0.5734,0.5748,0.7,0.0156,0.0305,0.0332,0.4526
0_4,0.4536,0.4586,0.5,0.0106,0.0207,-0.0185,0.4182
0_5,0.5399,0.5435,0.6,0.0144,0.028,0.0192,0.4883
0_6,0.4872,0.4903,0.5455,0.0131,0.0255,-0.0045,0.4367
0_7,0.4417,0.4417,0.4545,0.0108,0.0211,-0.0272,0.4293
0_8,0.4773,0.4835,0.5455,0.0128,0.0249,-0.0077,0.4231
0_9,0.4876,0.4953,0.5455,0.0133,0.026,-0.0022,0.4465
0_Mean,0.4945,0.4979,0.5573,0.0127,0.0248,-0.0014,0.44
0_SD,0.0826,0.0827,0.1689,0.0035,0.0068,0.0377,0.0223
Mean,0.4945,0.4979,0.5573,0.0127,0.0248,-0.0014,0.44
SD,0.0825,0.0827,0.1689,0.0035,0.0068,0.0377,0.0223
