,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.8718,0.7315,0.4706,0.5714,0.5161,0.5093,0.9816
0_1,0.8343,0.6837,0.375,0.5,0.4286,0.4233,0.9803
0_2,0.7197,0.5875,0.1875,0.2308,0.2069,0.1937,0.9717
0_3,0.6573,0.6194,0.25,0.3077,0.2759,0.2643,0.9742
0_4,0.8675,0.7156,0.4375,0.5833,0.5,0.4967,0.9828
0_5,0.8958,0.7743,0.5625,0.45,0.5,0.492,0.9779
0_6,0.7514,0.6414,0.2941,0.3571,0.3226,0.3111,0.9742
0_7,0.8396,0.6714,0.3529,0.4286,0.3871,0.3771,0.9766
0_8,0.7186,0.6433,0.2941,0.4545,0.3571,0.3549,0.9779
0_9,0.8366,0.7296,0.4706,0.4706,0.4706,0.4593,0.9779
0_Mean,0.7993,0.6798,0.3695,0.4354,0.3965,0.3882,0.9775
0_SD,0.0808,0.0582,0.1161,0.1109,0.1053,0.1074,0.0035
Mean,0.7993,0.6798,0.3695,0.4354,0.3965,0.3882,0.9775
SD,0.0808,0.0581,0.1161,0.1109,0.1053,0.1074,0.0035
