,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.9543,0.4959,0.0,0.0,,-0.0058,0.9877
0_1,0.8297,0.6632,0.3333,0.1667,0.2222,0.2313,0.9905
0_2,0.8589,0.8313,0.6667,0.4,0.5,0.5139,0.9945
0_3,0.9612,0.8306,0.6667,0.3333,0.4444,0.4685,0.9932
0_4,0.9863,0.6646,0.3333,0.25,0.2857,0.2853,0.9932
0_5,0.8032,0.4986,0.0,0.0,,-0.0039,0.9918
0_6,0.8645,0.4952,0.0,0.0,,-0.0073,0.985
0_7,0.868,0.6236,0.25,0.3333,0.2857,0.2853,0.9932
0_8,0.7467,0.4959,0.0,0.0,,-0.0058,0.9877
0_9,0.6584,0.4938,0.0,0.0,,-0.0072,0.9836
0_Mean,0.8531,0.6093,0.225,0.1483,0.3476,0.1754,0.99
0_SD,0.1013,0.1369,0.2723,0.1675,0.1183,0.2088,0.0038
Mean,0.8531,0.6093,0.225,0.1483,0.3476,0.1754,0.99
SD,0.1013,0.1369,0.2723,0.1675,0.1183,0.2088,0.0038
