,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7128,0.6147,0.25,0.1176,0.16,0.1583,0.9714
0_1,0.7634,0.8001,0.625,0.2174,0.3226,0.3577,0.9714
0_2,0.7964,0.5501,0.125,0.0526,0.0741,0.0655,0.9659
0_3,0.8274,0.6813,0.375,0.25,0.3,0.2969,0.9809
0_4,0.7899,0.6001,0.2222,0.1111,0.1481,0.1424,0.9686
0_5,0.7455,0.5515,0.125,0.0588,0.08,0.071,0.9686
0_6,0.7008,0.6146,0.25,0.1176,0.16,0.1583,0.9713
0_7,0.7411,0.6153,0.25,0.125,0.1667,0.164,0.9727
0_8,0.7069,0.7424,0.5,0.2667,0.3478,0.3558,0.9795
0_9,0.7901,0.6771,0.375,0.1667,0.2308,0.2378,0.9727
0_Mean,0.7574,0.6447,0.3097,0.1484,0.199,0.2008,0.9723
0_SD,0.0431,0.0805,0.1601,0.0749,0.0972,0.1069,0.0047
Mean,0.7574,0.6447,0.3097,0.1484,0.199,0.2008,0.9723
SD,0.0431,0.0805,0.1601,0.0749,0.0972,0.1069,0.0047
