,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.8072,0.4994,0.0,0.0,,-0.0021,0.9951
0_1,0.9207,0.8333,0.6667,1.0,0.8,0.816,0.9988
0_2,0.8853,0.4994,0.0,0.0,,-0.0021,0.9951
0_3,0.426,0.4994,0.0,0.0,,-0.0017,0.9963
0_4,0.9692,0.7494,0.5,0.5,0.5,0.4988,0.9975
0_5,0.7298,0.666,0.3333,0.5,0.4,0.4065,0.9963
0_6,0.8815,0.8321,0.6667,0.5,0.5714,0.5756,0.9963
0_7,0.8218,0.6654,0.3333,0.3333,0.3333,0.3309,0.9951
0_8,0.9383,0.6667,0.3333,1.0,0.5,0.5766,0.9975
0_9,0.6922,0.6667,0.3333,1.0,0.5,0.5766,0.9975
0_Mean,0.8072,0.6578,0.3167,0.4833,0.515,0.3775,0.9966
0_SD,0.1608,0.127,0.254,0.4116,0.1479,0.2907,0.0013
Mean,0.8072,0.6578,0.3167,0.4833,0.515,0.3775,0.9966
SD,0.1608,0.127,0.254,0.4116,0.1479,0.2907,0.0013
